#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0000307	Cyclin-dependent protein kinase holoenzyme complex	10	41	2.15	1.18e-15	9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849	CCNA1,CCNB1,CDK4,CDK2,CCNA2,CCNB2,CKS1B,CKS2,CDK1,CDKN1A
GO:0005829	Cytosol	27	5193	0.48	6.76e-08	9606.ENSP00000217233,9606.ENSP00000225655,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000264380,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000294742,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000315768,9606.ENSP00000345083,9606.ENSP00000361540,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394560,9606.ENSP00000400433,9606.ENSP00000432660,9606.ENSP00000479669	TRIB3,PFN1,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,RIPK1,KIF11,PIKFYVE,CDK2,CCNA2,CCNB2,ARPC5,MAD2L1,BUB1,STAT2,MAP2K3,CDC20,ACTR2,CDK1,MAPK8,CDKN1A,MAPK9,HNRNPF,CFL1,CAB39L
GO:1990234	Transferase complex	12	752	0.96	7.96e-07	9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849	CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,CDK2,CCNA2,CCNB2,CKS1B,CKS2,CDK1,CDKN1A
GO:1902494	Catalytic complex	14	1328	0.78	4.28e-06	9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000400433	CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,RIPK1,CDK2,CCNA2,CCNB2,CKS1B,CKS2,CDK1,CDKN1A,HNRNPF
GO:0097124	Cyclin a2-cdk2 complex	3	3	2.76	2.02e-05	9606.ENSP00000255465,9606.ENSP00000266970,9606.ENSP00000274026	CCNA1,CDK2,CCNA2
GO:0005634	Nucleus	27	7390	0.32	0.00017	9606.ENSP00000217233,9606.ENSP00000225655,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000294742,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394560,9606.ENSP00000400433,9606.ENSP00000428489,9606.ENSP00000432660	TRIB3,PFN1,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,KIF11,CDK2,CCNA2,CCNB2,ARPC5,MAD2L1,BUB1,CKS1B,STAT2,MAP2K3,E2F1,CDC20,ACTR2,CDK1,MAPK8,CDKN1A,MAPK9,HNRNPF,PBK,CFL1
GO:0005654	Nucleoplasm	20	3973	0.46	0.00017	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394560,9606.ENSP00000400433	TRIB3,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,CDK2,CCNA2,MAD2L1,BUB1,CKS1B,STAT2,MAP2K3,E2F1,CDC20,CDK1,MAPK8,CDKN1A,MAPK9,HNRNPF
GO:0031981	Nuclear lumen	21	4733	0.41	0.00056	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394560,9606.ENSP00000400433,9606.ENSP00000432660	TRIB3,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,CDK2,CCNA2,MAD2L1,BUB1,CKS1B,STAT2,MAP2K3,E2F1,CDC20,CDK1,MAPK8,CDKN1A,MAPK9,HNRNPF,CFL1
GO:0070013	Intracellular organelle lumen	23	5857	0.35	0.00091	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000294742,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394560,9606.ENSP00000400433,9606.ENSP00000432660	TRIB3,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,CDK2,CCNA2,ARPC5,MAD2L1,BUB1,CKS1B,STAT2,MAP2K3,E2F1,CDC20,ACTR2,CDK1,MAPK8,CDKN1A,MAPK9,HNRNPF,CFL1
GO:0032991	Protein-containing complex	21	5073	0.38	0.0013	9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000294742,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000400433	CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,RIPK1,KIF11,CDK2,CCNA2,CCNB2,ARPC5,MAD2L1,BUB1,CKS1B,E2F1,CDC20,CKS2,ACTR2,CDK1,CDKN1A,HNRNPF
