#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0016538	Cyclin-dependent protein serine/threonine kinase regulator activity	9	48	2.03	1.23e-12	9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000364976,9606.ENSP00000384849	CDKN1B,CCNA1,CCNB1,CDK4,CCNA2,CCNB2,CKS1B,CKS2,CDKN1A
GO:0019887	Protein kinase regulator activity	11	188	1.53	3.38e-11	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000364976,9606.ENSP00000384849,9606.ENSP00000479669	TRIB3,CDKN1B,CCNA1,CCNB1,CDK4,CCNA2,CCNB2,CKS1B,CKS2,CDKN1A,CAB39L
GO:0016773	Phosphotransferase activity, alcohol group as acceptor	13	670	1.05	3.82e-08	9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000264380,9606.ENSP00000266970,9606.ENSP00000302530,9606.ENSP00000345083,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000428489	CCNB1,CDK4,RIPK1,PIKFYVE,CDK2,BUB1,MAP2K3,CDK1,MAPK8,CDKN1A,SLA,MAPK9,PBK
GO:0004672	Protein kinase activity	12	568	1.08	7.89e-08	9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000266970,9606.ENSP00000302530,9606.ENSP00000345083,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000428489	CCNB1,CDK4,RIPK1,CDK2,BUB1,MAP2K3,CDK1,MAPK8,CDKN1A,SLA,MAPK9,PBK
GO:0016301	Kinase activity	13	732	1.01	7.89e-08	9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000264380,9606.ENSP00000266970,9606.ENSP00000302530,9606.ENSP00000345083,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000428489	CCNB1,CDK4,RIPK1,PIKFYVE,CDK2,BUB1,MAP2K3,CDK1,MAPK8,CDKN1A,SLA,MAPK9,PBK
GO:0030234	Enzyme regulator activity	14	1044	0.89	3.82e-07	9606.ENSP00000217233,9606.ENSP00000225655,9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000479669	TRIB3,PFN1,CDKN1B,CCNA1,CCNB1,CDK4,CCNA2,CCNB2,CKS1B,CDC20,CKS2,MAPK8,CDKN1A,CAB39L
GO:0005515	Protein binding	29	7026	0.38	1.51e-06	9606.ENSP00000217233,9606.ENSP00000225655,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000294742,9606.ENSP00000296509,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000357305,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000400433,9606.ENSP00000432660	TRIB3,PFN1,CDKN1B,TRAF2,CCNB1,CDK4,RIPK1,KIF11,CDK2,CCNA2,CCNB2,ARPC5,MAD2L1,CKS1B,STAT2,ADCY2,MAP2K3,E2F1,RIT1,CDC20,CKS2,ACTR2,CDK1,MAPK8,CDKN1A,SLA,MAPK9,HNRNPF,CFL1
GO:0030332	Cyclin binding	5	31	1.97	1.51e-06	9606.ENSP00000228872,9606.ENSP00000257904,9606.ENSP00000266970,9606.ENSP00000378699,9606.ENSP00000384849	CDKN1B,CDK4,CDK2,CDK1,CDKN1A
GO:0019901	Protein kinase binding	11	653	0.99	2.57e-06	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000256442,9606.ENSP00000260731,9606.ENSP00000274026,9606.ENSP00000311083,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000364976,9606.ENSP00000384849	TRIB3,CDKN1B,TRAF2,CCNB1,KIF11,CCNA2,CKS1B,MAP2K3,E2F1,CKS2,CDKN1A
GO:0030554	Adenyl nucleotide binding	15	1534	0.75	3.25e-06	9606.ENSP00000217233,9606.ENSP00000225655,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000264380,9606.ENSP00000266970,9606.ENSP00000302530,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000394560,9606.ENSP00000428489	TRIB3,PFN1,CDK4,RIPK1,KIF11,PIKFYVE,CDK2,BUB1,ADCY2,MAP2K3,ACTR2,CDK1,MAPK8,MAPK9,PBK
