#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0000278	Mitotic cell cycle	18	695	1.17	1.66e-13	9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000428489,9606.ENSP00000432660	CDKN1B,CCNA1,CCNB1,CDK4,KIF11,CDK2,CCNA2,CCNB2,MAD2L1,BUB1,CKS1B,E2F1,CDC20,CKS2,CDK1,CDKN1A,PBK,CFL1
GO:1903047	Mitotic cell cycle process	17	616	1.2	3.29e-13	9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000432660	CDKN1B,CCNA1,CCNB1,CDK4,KIF11,CDK2,CCNA2,CCNB2,MAD2L1,BUB1,CKS1B,E2F1,CDC20,CKS2,CDK1,CDKN1A,CFL1
GO:0071900	Regulation of protein serine/threonine kinase activity	16	521	1.25	4.84e-13	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000345083,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000428489,9606.ENSP00000479669	TRIB3,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,RIPK1,CCNA2,CCNB2,CKS1B,MAP2K3,CKS2,CDK1,CDKN1A,PBK,CAB39L
GO:0022402	Cell cycle process	19	976	1.05	6.22e-13	9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000432660,9606.ENSP00000479669	CDKN1B,CCNA1,CCNB1,CDK4,KIF11,CDK2,CCNA2,CCNB2,MAD2L1,BUB1,CKS1B,E2F1,CDC20,CKS2,ACTR2,CDK1,CDKN1A,CFL1,CAB39L
GO:0051338	Regulation of transferase activity	19	1036	1.02	1.46e-12	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000311083,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000428489,9606.ENSP00000479669	TRIB3,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,RIPK1,CCNA2,CCNB2,MAD2L1,CKS1B,ADCY2,MAP2K3,CDC20,CKS2,CDK1,CDKN1A,PBK,CAB39L
GO:0051301	Cell division	15	493	1.24	3.30e-12	9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000432660	CCNA1,CCNB1,CDK4,KIF11,CDK2,CCNA2,CCNB2,MAD2L1,BUB1,CKS1B,CDC20,CKS2,ACTR2,CDK1,CFL1
GO:0007049	Cell cycle	20	1313	0.94	3.98e-12	9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000367220,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000428489,9606.ENSP00000432660,9606.ENSP00000479669	CDKN1B,CCNA1,CCNB1,CDK4,KIF11,CDK2,CCNA2,CCNB2,MAD2L1,BUB1,CKS1B,E2F1,CDC20,CKS2,ACTR2,CDK1,CDKN1A,PBK,CFL1,CAB39L
GO:0045859	Regulation of protein kinase activity	17	812	1.08	7.20e-12	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000311083,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000428489,9606.ENSP00000479669	TRIB3,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,RIPK1,CCNA2,CCNB2,CKS1B,ADCY2,MAP2K3,CKS2,CDK1,CDKN1A,PBK,CAB39L
GO:0031399	Regulation of protein modification process	22	1870	0.83	1.02e-11	9606.ENSP00000217233,9606.ENSP00000228872,9606.ENSP00000247668,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000394560,9606.ENSP00000428489,9606.ENSP00000479669	TRIB3,CDKN1B,TRAF2,CCNA1,CCNB1,CDK4,RIPK1,CCNA2,CCNB2,MAD2L1,CKS1B,STAT2,ADCY2,MAP2K3,CDC20,CKS2,CDK1,MAPK8,CDKN1A,MAPK9,PBK,CAB39L
GO:0051726	Regulation of cell cycle	19	1230	0.95	1.60e-11	9606.ENSP00000228872,9606.ENSP00000255465,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000266970,9606.ENSP00000274026,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000361540,9606.ENSP00000364976,9606.ENSP00000378699,9606.ENSP00000384849,9606.ENSP00000479669	CDKN1B,CCNA1,CCNB1,CDK4,RIPK1,KIF11,CDK2,CCNA2,CCNB2,MAD2L1,BUB1,CKS1B,MAP2K3,E2F1,CDC20,CKS2,CDK1,CDKN1A,CAB39L
