#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0030054	Cell junction	19	2075	0.67	2.61e-06	9606.ENSP00000244007,9606.ENSP00000265563,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000352157,9606.ENSP00000359337,9606.ENSP00000376345,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000479606	PLCG1,PRKAR2A,EGFR,CAMK4,HSP90B1,PDIA3,PRKCB,CALR,HSPA5,GSK3B,P4HB,MAPK10,GABRA3,GRB2,HRAS,NCK1,RAB40C,ARF1,CLTC
GO:0070161	Anchoring junction	12	820	0.88	2.62e-05	9606.ENSP00000244007,9606.ENSP00000265563,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000327801,9606.ENSP00000376345,9606.ENSP00000417273,9606.ENSP00000440005,9606.ENSP00000479606	PLCG1,PRKAR2A,EGFR,HSP90B1,PDIA3,CALR,HSPA5,P4HB,GRB2,NCK1,ARF1,CLTC
GO:0005829	Cytosol	26	5193	0.41	4.11e-05	9606.ENSP00000244007,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000270517,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000348848,9606.ENSP00000349446,9606.ENSP00000352157,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348,9606.ENSP00000479606	PLCG1,RAF1,PRKAR2A,ECSIT,HSP90B1,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,WDR45,ARG1,MAPK10,MKNK1,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,ARF1,DDIT3,MAP2K6,CLTC
GO:0005925	Focal adhesion	9	405	1.06	4.11e-05	9606.ENSP00000265563,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000327801,9606.ENSP00000440005,9606.ENSP00000479606	PRKAR2A,EGFR,HSP90B1,PDIA3,CALR,HSPA5,P4HB,ARF1,CLTC
GO:0005615	Extracellular space	19	3195	0.49	0.00042	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000311344,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000327801,9606.ENSP00000349446,9606.ENSP00000352414,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000440005,9606.ENSP00000479606	FGF6,IL4,PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PDIA3,PRKCB,PPP2R1B,CALR,HSPA5,P4HB,ARG1,FGF17,GRB2,IRAK4,ARF1,CLTC
GO:0031982	Vesicle	21	3879	0.45	0.00042	9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000311344,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000327801,9606.ENSP00000349446,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000417273,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000479606	PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PDIA3,PRKCB,PPP2R1B,CALR,HSPA5,P4HB,ARG1,IL2RG,GRB2,IRAK4,MYD88,NCK1,RAB40C,ARF1,DDIT3,CLTC
GO:0034663	Endoplasmic reticulum chaperone complex	3	11	2.15	0.00045	9606.ENSP00000299767,9606.ENSP00000324173,9606.ENSP00000327801	HSP90B1,HSPA5,P4HB
GO:0042470	Melanosome	5	104	1.39	0.00045	9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000324173,9606.ENSP00000327801,9606.ENSP00000479606	HSP90B1,PDIA3,HSPA5,P4HB,CLTC
GO:0005886	Plasma membrane	24	5314	0.37	0.00059	9606.ENSP00000228837,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000352157,9606.ENSP00000359337,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000479606	FGF6,PLCG1,GNGT1,RAF1,PRKAR2A,RALB,EGFR,HSP90B1,PRKCB,CALR,HSPA5,GSK3B,P4HB,MAPK10,GABRA3,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,RAB40C,ARF1,CLTC
GO:0005768	Endosome	10	959	0.73	0.0014	9606.ENSP00000275493,9606.ENSP00000300289,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000479606	EGFR,PDIA3,IL2RG,GRB2,IRAK4,MYD88,RAB40C,ARF1,DDIT3,CLTC
