#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005515	Protein binding	32	7026	0.37	4.18e-06	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000348848,9606.ENSP00000349446,9606.ENSP00000352414,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348,9606.ENSP00000479606	FGF6,IL4,PLCG1,GNGT1,MKNK2,RAF1,PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PDIA3,PRKCB,CALR,HSPA5,GSK3B,P4HB,PTPN11,WDR45,ARG1,FGF17,MKNK1,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,ARF1,DDIT3,MAP2K6,CLTC
GO:0019901	Protein kinase binding	12	653	0.98	4.18e-06	9606.ENSP00000244007,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000275493,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000340944,9606.ENSP00000348848,9606.ENSP00000376345,9606.ENSP00000417273,9606.ENSP00000468348,9606.ENSP00000479606	PLCG1,RAF1,PRKAR2A,EGFR,PRKCB,GSK3B,PTPN11,WDR45,GRB2,NCK1,MAP2K6,CLTC
GO:0004674	Protein serine/threonine kinase activity	10	437	1.07	9.90e-06	9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000352157,9606.ENSP00000361014,9606.ENSP00000390651,9606.ENSP00000468348	MKNK2,RAF1,EGFR,CAMK4,PRKCB,GSK3B,MAPK10,MKNK1,IRAK4,MAP2K6
GO:0032555	Purine ribonucleotide binding	17	1864	0.67	1.20e-05	9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000352157,9606.ENSP00000361014,9606.ENSP00000390651,9606.ENSP00000407586,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000468348	MKNK2,RAF1,PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PRKCB,HSPA5,GSK3B,MAPK10,MKNK1,IRAK4,HRAS,RAB40C,ARF1,MAP2K6
GO:0035639	Purine ribonucleoside triphosphate binding	16	1799	0.66	3.40e-05	9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000352157,9606.ENSP00000361014,9606.ENSP00000390651,9606.ENSP00000407586,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000468348	MKNK2,RAF1,RALB,EGFR,CAMK4,HSP90B1,PRKCB,HSPA5,GSK3B,MAPK10,MKNK1,IRAK4,HRAS,RAB40C,ARF1,MAP2K6
GO:0005102	Signaling receptor binding	15	1581	0.69	3.71e-05	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000320866,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000352414,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000417273,9606.ENSP00000479606	FGF6,IL4,PLCG1,EGFR,HSP90B1,PRKCB,CALR,P4HB,PTPN11,FGF17,GRB2,IRAK4,MYD88,NCK1,CLTC
GO:0009931	Calcium-dependent protein serine/threonine kinase activity	4	23	1.95	5.08e-05	9606.ENSP00000250896,9606.ENSP00000282356,9606.ENSP00000305355,9606.ENSP00000361014	MKNK2,CAMK4,PRKCB,MKNK1
GO:0019899	Enzyme binding	17	2239	0.59	5.51e-05	9606.ENSP00000244007,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000348848,9606.ENSP00000376345,9606.ENSP00000417273,9606.ENSP00000468348,9606.ENSP00000479606	PLCG1,RAF1,PRKAR2A,RALB,EGFR,HSP90B1,PRKCB,CALR,HSPA5,GSK3B,P4HB,PTPN11,WDR45,GRB2,NCK1,MAP2K6,CLTC
GO:0043168	Anion binding	18	2805	0.52	0.00021	9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000348848,9606.ENSP00000352157,9606.ENSP00000361014,9606.ENSP00000390651,9606.ENSP00000407586,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000468348	MKNK2,RAF1,PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PRKCB,HSPA5,GSK3B,WDR45,MAPK10,MKNK1,IRAK4,HRAS,RAB40C,ARF1,MAP2K6
GO:0032559	Adenyl ribonucleotide binding	13	1522	0.64	0.00051	9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000352157,9606.ENSP00000361014,9606.ENSP00000390651,9606.ENSP00000468348	MKNK2,RAF1,PRKAR2A,EGFR,CAMK4,HSP90B1,PRKCB,HSPA5,GSK3B,MAPK10,MKNK1,IRAK4,MAP2K6
