#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007154	Cell communication	34	5320	0.52	1.04e-11	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000348848,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000359337,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348,9606.ENSP00000479606	FGF6,IL4,PLCG1,GNGT1,MKNK2,RAF1,PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,WDR45,MAPK10,FGF17,GABRA3,MKNK1,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,RAB40C,ARF1,DDIT3,MAP2K6,CLTC
GO:0007165	Signal transduction	33	4876	0.54	1.04e-11	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000359337,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348,9606.ENSP00000479606	FGF6,IL4,PLCG1,GNGT1,MKNK2,RAF1,PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,MAPK10,FGF17,GABRA3,MKNK1,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,RAB40C,ARF1,DDIT3,MAP2K6,CLTC
GO:0051716	Cellular response to stimulus	36	6489	0.46	1.04e-11	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000348848,9606.ENSP00000349446,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000359337,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348,9606.ENSP00000479606	FGF6,IL4,PLCG1,GNGT1,MKNK2,RAF1,PRKAR2A,RALB,EGFR,CAMK4,HSP90B1,PDIA3,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,WDR45,ARG1,MAPK10,FGF17,GABRA3,MKNK1,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,RAB40C,ARF1,DDIT3,MAP2K6,CLTC
GO:0070887	Cellular response to chemical stimulus	28	2919	0.69	1.04e-11	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000349446,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348	FGF6,IL4,PLCG1,GNGT1,MKNK2,RAF1,PRKAR2A,RALB,EGFR,HSP90B1,PDIA3,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,ARG1,MAPK10,FGF17,IL2RG,GRB2,IRAK4,MYD88,ARF1,DDIT3,MAP2K6
GO:0071310	Cellular response to organic substance	25	2369	0.74	3.69e-11	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000349446,9606.ENSP00000352414,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348	FGF6,IL4,PLCG1,RAF1,PRKAR2A,RALB,EGFR,HSP90B1,PDIA3,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,ARG1,FGF17,IL2RG,GRB2,IRAK4,MYD88,ARF1,DDIT3,MAP2K6
GO:0050896	Response to stimulus	37	8046	0.37	2.31e-10	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000270517,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000348848,9606.ENSP00000349446,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000359337,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348,9606.ENSP00000479606	FGF6,IL4,PLCG1,GNGT1,MKNK2,RAF1,PRKAR2A,ECSIT,RALB,EGFR,CAMK4,HSP90B1,PDIA3,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,WDR45,ARG1,MAPK10,FGF17,GABRA3,MKNK1,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,RAB40C,ARF1,DDIT3,MAP2K6,CLTC
GO:0007166	Cell surface receptor signaling pathway	23	2325	0.71	2.35e-09	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000359337,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000479606	FGF6,IL4,PLCG1,MKNK2,RAF1,EGFR,HSP90B1,PRKCB,GSK3B,P4HB,PTPN11,MAPK10,FGF17,GABRA3,IL2RG,GRB2,IRAK4,MYD88,HRAS,NCK1,ARF1,DDIT3,CLTC
GO:0042221	Response to chemical	29	4333	0.54	2.94e-09	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000305355,9606.ENSP00000312988,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000327801,9606.ENSP00000340944,9606.ENSP00000349446,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000468348	FGF6,IL4,PLCG1,GNGT1,MKNK2,RAF1,PRKAR2A,RALB,EGFR,HSP90B1,PDIA3,PRKCB,NFKBIB,CALR,HSPA5,GSK3B,P4HB,PTPN11,ARG1,MAPK10,FGF17,IL2RG,GRB2,IRAK4,MYD88,HRAS,ARF1,DDIT3,MAP2K6
GO:0035556	Intracellular signal transduction	20	1712	0.78	6.24e-09	9606.ENSP00000228837,9606.ENSP00000244007,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000265563,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000407586,9606.ENSP00000438492,9606.ENSP00000448665,9606.ENSP00000468348	FGF6,PLCG1,MKNK2,RAF1,PRKAR2A,RALB,EGFR,CAMK4,PRKCB,GSK3B,MAPK10,FGF17,MKNK1,IL2RG,GRB2,IRAK4,HRAS,RAB40C,DDIT3,MAP2K6
GO:0006468	Protein phosphorylation	16	952	0.94	9.44e-09	9606.ENSP00000228837,9606.ENSP00000231449,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000352157,9606.ENSP00000352414,9606.ENSP00000361014,9606.ENSP00000363318,9606.ENSP00000376345,9606.ENSP00000390651,9606.ENSP00000407586,9606.ENSP00000468348	FGF6,IL4,MKNK2,RAF1,EGFR,CAMK4,PRKCB,GSK3B,MAPK10,FGF17,MKNK1,IL2RG,GRB2,IRAK4,HRAS,MAP2K6
