#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005829	Cytosol	30	5193	0.46	1.38e-07	9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000226004,9606.ENSP00000228825,9606.ENSP00000262741,9606.ENSP00000263238,9606.ENSP00000265960,9606.ENSP00000269321,9606.ENSP00000286827,9606.ENSP00000295685,9606.ENSP00000307272,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000328059,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000354558,9606.ENSP00000357804,9606.ENSP00000359073,9606.ENSP00000361021,9606.ENSP00000361930,9606.ENSP00000374455,9606.ENSP00000375711,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000425561,9606.ENSP00000435412,9606.ENSP00000451828	MAPK1,TSC2,DUSP3,ARPC3,PIK3R3,ACTR3,MAPKAP1,ARHGDIA,TIAM1,ARPC2,RPTOR,UBE2N,PPP1CA,RLIM,TBK1,PLCB1,SFN,RAC1,MTOR,THEM4,VAV3,PTEN,YWHAB,SQSTM1,AKT1S1,ARPC4,ARPC1B,EIF4E,RPS6KA1,AKT1
GO:0005885	Arp2/3 protein complex	5	11	2.36	1.38e-07	9606.ENSP00000228825,9606.ENSP00000263238,9606.ENSP00000295685,9606.ENSP00000388169,9606.ENSP00000389631	ARPC3,ACTR3,ARPC2,ARPC4,ARPC1B
GO:0005634	Nucleus	31	7390	0.32	7.38e-05	9606.ENSP00000215530,9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000226004,9606.ENSP00000228825,9606.ENSP00000263238,9606.ENSP00000265960,9606.ENSP00000286827,9606.ENSP00000295685,9606.ENSP00000304169,9606.ENSP00000307272,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000328059,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340523,9606.ENSP00000340989,9606.ENSP00000354558,9606.ENSP00000361021,9606.ENSP00000361930,9606.ENSP00000362588,9606.ENSP00000370744,9606.ENSP00000374455,9606.ENSP00000375711,9606.ENSP00000376352,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000428209,9606.ENSP00000435412,9606.ENSP00000451828	FGF22,MAPK1,TSC2,DUSP3,ARPC3,ACTR3,MAPKAP1,TIAM1,ARPC2,PITX2,RPTOR,UBE2N,PPP1CA,RLIM,TBK1,PLCB1,NMNAT3,SFN,MTOR,PTEN,YWHAB,PBX3,ITPR2,SQSTM1,AKT1S1,PDK1,ARPC4,ARPC1B,UBE2V2,RPS6KA1,AKT1
GO:0098794	Postsynapse	10	643	0.89	0.00018	9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000286827,9606.ENSP00000326031,9606.ENSP00000338185,9606.ENSP00000348461,9606.ENSP00000354558,9606.ENSP00000361021,9606.ENSP00000425561,9606.ENSP00000451828	MAPK1,TSC2,TIAM1,PPP1CA,PLCB1,RAC1,MTOR,PTEN,EIF4E,AKT1
GO:0032991	Protein-containing complex	25	5073	0.39	0.00021	9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000228825,9606.ENSP00000262741,9606.ENSP00000263238,9606.ENSP00000265960,9606.ENSP00000295685,9606.ENSP00000304169,9606.ENSP00000307272,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000328059,9606.ENSP00000338185,9606.ENSP00000354558,9606.ENSP00000361930,9606.ENSP00000362588,9606.ENSP00000365807,9606.ENSP00000370744,9606.ENSP00000375711,9606.ENSP00000376352,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000425561,9606.ENSP00000428209,9606.ENSP00000451828	MAPK1,TSC2,ARPC3,PIK3R3,ACTR3,MAPKAP1,ARPC2,PITX2,RPTOR,UBE2N,PPP1CA,RLIM,PLCB1,MTOR,YWHAB,PBX3,GNA14,ITPR2,AKT1S1,PDK1,ARPC4,ARPC1B,EIF4E,UBE2V2,AKT1
GO:0070062	Extracellular exosome	16	2099	0.58	0.00030	9606.ENSP00000228825,9606.ENSP00000263238,9606.ENSP00000269321,9606.ENSP00000295685,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000338185,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000361930,9606.ENSP00000365807,9606.ENSP00000374455,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000425561,9606.ENSP00000428209	ARPC3,ACTR3,ARHGDIA,ARPC2,UBE2N,PPP1CA,PLCB1,SFN,RAC1,YWHAB,GNA14,SQSTM1,ARPC4,ARPC1B,EIF4E,UBE2V2
GO:0005737	Cytoplasm	36	11428	0.2	0.00049	9606.ENSP00000215530,9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000226004,9606.ENSP00000228825,9606.ENSP00000243501,9606.ENSP00000262741,9606.ENSP00000263238,9606.ENSP00000265960,9606.ENSP00000269321,9606.ENSP00000286827,9606.ENSP00000295685,9606.ENSP00000307272,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000328059,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340523,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000354558,9606.ENSP00000357804,9606.ENSP00000359073,9606.ENSP00000361021,9606.ENSP00000361930,9606.ENSP00000370744,9606.ENSP00000374455,9606.ENSP00000375711,9606.ENSP00000376352,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000425561,9606.ENSP00000428209,9606.ENSP00000435412,9606.ENSP00000451828	FGF22,MAPK1,TSC2,DUSP3,ARPC3,PLA2G12A,PIK3R3,ACTR3,MAPKAP1,ARHGDIA,TIAM1,ARPC2,RPTOR,UBE2N,PPP1CA,RLIM,TBK1,PLCB1,NMNAT3,SFN,RAC1,MTOR,THEM4,VAV3,PTEN,YWHAB,ITPR2,SQSTM1,AKT1S1,PDK1,ARPC4,ARPC1B,EIF4E,UBE2V2,RPS6KA1,AKT1
GO:0031982	Vesicle	21	3879	0.43	0.00049	9606.ENSP00000215832,9606.ENSP00000228825,9606.ENSP00000263238,9606.ENSP00000265960,9606.ENSP00000269321,9606.ENSP00000295685,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000361930,9606.ENSP00000365807,9606.ENSP00000370744,9606.ENSP00000374455,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000425561,9606.ENSP00000428209,9606.ENSP00000451828	MAPK1,ARPC3,ACTR3,MAPKAP1,ARHGDIA,ARPC2,UBE2N,PPP1CA,TBK1,PLCB1,SFN,RAC1,YWHAB,GNA14,ITPR2,SQSTM1,ARPC4,ARPC1B,EIF4E,UBE2V2,AKT1
GO:0038201	TOR complex	3	11	2.14	0.00049	9606.ENSP00000265960,9606.ENSP00000307272,9606.ENSP00000354558	MAPKAP1,RPTOR,MTOR
GO:0070161	Anchoring junction	10	820	0.79	0.00052	9606.ENSP00000215832,9606.ENSP00000228825,9606.ENSP00000263238,9606.ENSP00000286827,9606.ENSP00000295685,9606.ENSP00000326031,9606.ENSP00000348461,9606.ENSP00000361930,9606.ENSP00000389631,9606.ENSP00000451828	MAPK1,ARPC3,ACTR3,TIAM1,ARPC2,PPP1CA,RAC1,YWHAB,ARPC1B,AKT1
