#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019899	Enzyme binding	21	2239	0.67	4.62e-07	9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000226004,9606.ENSP00000265960,9606.ENSP00000269321,9606.ENSP00000286827,9606.ENSP00000307272,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000354558,9606.ENSP00000359073,9606.ENSP00000361021,9606.ENSP00000361930,9606.ENSP00000374455,9606.ENSP00000388169,9606.ENSP00000425561,9606.ENSP00000451828	MAPK1,TSC2,DUSP3,MAPKAP1,ARHGDIA,TIAM1,RPTOR,UBE2N,PPP1CA,TBK1,PLCB1,SFN,RAC1,MTOR,VAV3,PTEN,YWHAB,SQSTM1,ARPC4,EIF4E,AKT1
GO:0051219	Phosphoprotein binding	7	87	1.61	1.02e-06	9606.ENSP00000215832,9606.ENSP00000262741,9606.ENSP00000304169,9606.ENSP00000329967,9606.ENSP00000340989,9606.ENSP00000354558,9606.ENSP00000361930	MAPK1,PIK3R3,PITX2,TBK1,SFN,MTOR,YWHAB
GO:0005515	Protein binding	31	7026	0.35	3.68e-05	9606.ENSP00000215530,9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000226004,9606.ENSP00000228825,9606.ENSP00000262741,9606.ENSP00000263238,9606.ENSP00000265960,9606.ENSP00000269321,9606.ENSP00000286827,9606.ENSP00000295685,9606.ENSP00000304169,9606.ENSP00000307272,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000354558,9606.ENSP00000359073,9606.ENSP00000361021,9606.ENSP00000361930,9606.ENSP00000362588,9606.ENSP00000365807,9606.ENSP00000370744,9606.ENSP00000374455,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000425561,9606.ENSP00000451828	FGF22,MAPK1,TSC2,DUSP3,ARPC3,PIK3R3,ACTR3,MAPKAP1,ARHGDIA,TIAM1,ARPC2,PITX2,RPTOR,UBE2N,PPP1CA,TBK1,PLCB1,SFN,RAC1,MTOR,VAV3,PTEN,YWHAB,PBX3,GNA14,ITPR2,SQSTM1,ARPC4,ARPC1B,EIF4E,AKT1
GO:0019901	Protein kinase binding	11	653	0.93	3.68e-05	9606.ENSP00000215832,9606.ENSP00000226004,9606.ENSP00000265960,9606.ENSP00000286827,9606.ENSP00000307272,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000354558,9606.ENSP00000361021,9606.ENSP00000374455,9606.ENSP00000451828	MAPK1,DUSP3,MAPKAP1,TIAM1,RPTOR,SFN,RAC1,MTOR,PTEN,SQSTM1,AKT1
GO:0005200	Structural constituent of cytoskeleton	5	104	1.38	0.0013	9606.ENSP00000228825,9606.ENSP00000263238,9606.ENSP00000295685,9606.ENSP00000388169,9606.ENSP00000389631	ARPC3,ACTR3,ARPC2,ARPC4,ARPC1B
GO:0004674	Protein serine/threonine kinase activity	7	437	0.91	0.0111	9606.ENSP00000215832,9606.ENSP00000329967,9606.ENSP00000354558,9606.ENSP00000374455,9606.ENSP00000376352,9606.ENSP00000435412,9606.ENSP00000451828	MAPK1,TBK1,MTOR,SQSTM1,PDK1,RPS6KA1,AKT1
GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding	2	3	2.52	0.0155	9606.ENSP00000307272,9606.ENSP00000354558	RPTOR,MTOR
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding	2	3	2.52	0.0155	9606.ENSP00000307272,9606.ENSP00000354558	RPTOR,MTOR
GO:0001156	TFIIIC-class transcription factor complex binding	2	3	2.52	0.0155	9606.ENSP00000307272,9606.ENSP00000354558	RPTOR,MTOR
GO:0005488	Binding	36	12516	0.16	0.0155	9606.ENSP00000215530,9606.ENSP00000215832,9606.ENSP00000219476,9606.ENSP00000226004,9606.ENSP00000228825,9606.ENSP00000243501,9606.ENSP00000262741,9606.ENSP00000263238,9606.ENSP00000265960,9606.ENSP00000269321,9606.ENSP00000286827,9606.ENSP00000295685,9606.ENSP00000304169,9606.ENSP00000307272,9606.ENSP00000316176,9606.ENSP00000326031,9606.ENSP00000328059,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340523,9606.ENSP00000340989,9606.ENSP00000348461,9606.ENSP00000354558,9606.ENSP00000359073,9606.ENSP00000361021,9606.ENSP00000361930,9606.ENSP00000362588,9606.ENSP00000365807,9606.ENSP00000370744,9606.ENSP00000374455,9606.ENSP00000376352,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000425561,9606.ENSP00000435412,9606.ENSP00000451828	FGF22,MAPK1,TSC2,DUSP3,ARPC3,PLA2G12A,PIK3R3,ACTR3,MAPKAP1,ARHGDIA,TIAM1,ARPC2,PITX2,RPTOR,UBE2N,PPP1CA,RLIM,TBK1,PLCB1,NMNAT3,SFN,RAC1,MTOR,VAV3,PTEN,YWHAB,PBX3,GNA14,ITPR2,SQSTM1,PDK1,ARPC4,ARPC1B,EIF4E,RPS6KA1,AKT1
