#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005515	Protein binding	92	7026	0.36	1.48e-20	9606.ENSP00000215530,9606.ENSP00000215832,9606.ENSP00000217233,9606.ENSP00000219476,9606.ENSP00000225655,9606.ENSP00000226004,9606.ENSP00000228825,9606.ENSP00000228837,9606.ENSP00000228872,9606.ENSP00000231449,9606.ENSP00000244007,9606.ENSP00000247668,9606.ENSP00000248572,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000262741,9606.ENSP00000263238,9606.ENSP00000265563,9606.ENSP00000265960,9606.ENSP00000266970,9606.ENSP00000269321,9606.ENSP00000272519,9606.ENSP00000274026,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000286827,9606.ENSP00000288207,9606.ENSP00000294742,9606.ENSP00000295685,9606.ENSP00000296509,9606.ENSP00000299767,9606.ENSP00000300289,9606.ENSP00000304169,9606.ENSP00000305355,9606.ENSP00000307272,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000316176,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000326031,9606.ENSP00000327801,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340944,9606.ENSP00000340989,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000348461,9606.ENSP00000348848,9606.ENSP00000349446,9606.ENSP00000352414,9606.ENSP00000354558,9606.ENSP00000357305,9606.ENSP00000359073,9606.ENSP00000361014,9606.ENSP00000361021,9606.ENSP00000361540,9606.ENSP00000361930,9606.ENSP00000362588,9606.ENSP00000363318,9606.ENSP00000364976,9606.ENSP00000365807,9606.ENSP00000367220,9606.ENSP00000370744,9606.ENSP00000374455,9606.ENSP00000376345,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000388169,9606.ENSP00000389631,9606.ENSP00000390651,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000400433,9606.ENSP00000401399,9606.ENSP00000407586,9606.ENSP00000417273,9606.ENSP00000425561,9606.ENSP00000432660,9606.ENSP00000440005,9606.ENSP00000448665,9606.ENSP00000451828,9606.ENSP00000468348,9606.ENSP00000479606	FGF22,MAPK1,TRIB3,TSC2,PFN1,DUSP3,ARPC3,FGF6,CDKN1B,IL4,PLCG1,TRAF2,GNGT1,MKNK2,RAF1,CCNB1,CDK4,RIPK1,KIF11,PIK3R3,ACTR3,PRKAR2A,MAPKAP1,CDK2,ARHGDIA,RALB,CCNA2,EGFR,CAMK4,TIAM1,CCNB2,ARPC5,ARPC2,MAD2L1,HSP90B1,PDIA3,PITX2,PRKCB,RPTOR,CKS1B,STAT2,UBE2N,CALR,HSPA5,GSK3B,PPP1CA,P4HB,TBK1,PLCB1,PTPN11,SFN,ADCY2,MAP2K3,E2F1,RAC1,WDR45,ARG1,FGF17,MTOR,RIT1,VAV3,MKNK1,PTEN,CDC20,YWHAB,PBX3,IL2RG,CKS2,GNA14,ACTR2,ITPR2,SQSTM1,GRB2,CDK1,MAPK8,CDKN1A,ARPC4,ARPC1B,IRAK4,SLA,MAPK9,HNRNPF,MYD88,HRAS,NCK1,EIF4E,CFL1,ARF1,DDIT3,AKT1,MAP2K6,CLTC
GO:0019901	Protein kinase binding	34	653	0.96	6.89e-20	9606.ENSP00000215832,9606.ENSP00000217233,9606.ENSP00000226004,9606.ENSP00000228872,9606.ENSP00000244007,9606.ENSP00000247668,9606.ENSP00000251849,9606.ENSP00000256442,9606.ENSP00000260731,9606.ENSP00000265563,9606.ENSP00000265960,9606.ENSP00000274026,9606.ENSP00000275493,9606.ENSP00000286827,9606.ENSP00000305355,9606.ENSP00000307272,9606.ENSP00000311083,9606.ENSP00000324806,9606.ENSP00000340944,9606.ENSP00000340989,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000348461,9606.ENSP00000348848,9606.ENSP00000354558,9606.ENSP00000361021,9606.ENSP00000364976,9606.ENSP00000374455,9606.ENSP00000376345,9606.ENSP00000384849,9606.ENSP00000417273,9606.ENSP00000451828,9606.ENSP00000468348,9606.ENSP00000479606	MAPK1,TRIB3,DUSP3,CDKN1B,PLCG1,TRAF2,RAF1,CCNB1,KIF11,PRKAR2A,MAPKAP1,CCNA2,EGFR,TIAM1,PRKCB,RPTOR,CKS1B,GSK3B,PTPN11,SFN,MAP2K3,E2F1,RAC1,WDR45,MTOR,PTEN,CKS2,SQSTM1,GRB2,CDKN1A,NCK1,AKT1,MAP2K6,CLTC
GO:0019899	Enzyme binding	55	2239	0.64	7.03e-20	9606.ENSP00000215832,9606.ENSP00000217233,9606.ENSP00000219476,9606.ENSP00000225655,9606.ENSP00000226004,9606.ENSP00000228872,9606.ENSP00000244007,9606.ENSP00000247668,9606.ENSP00000251849,9606.ENSP00000256442,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000265563,9606.ENSP00000265960,9606.ENSP00000269321,9606.ENSP00000272519,9606.ENSP00000274026,9606.ENSP00000275493,9606.ENSP00000286827,9606.ENSP00000299767,9606.ENSP00000305355,9606.ENSP00000307272,9606.ENSP00000311083,9606.ENSP00000315768,9606.ENSP00000316176,9606.ENSP00000320866,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000326031,9606.ENSP00000327801,9606.ENSP00000329967,9606.ENSP00000338185,9606.ENSP00000340944,9606.ENSP00000340989,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000345571,9606.ENSP00000348461,9606.ENSP00000348848,9606.ENSP00000354558,9606.ENSP00000359073,9606.ENSP00000361021,9606.ENSP00000361540,9606.ENSP00000361930,9606.ENSP00000364976,9606.ENSP00000374455,9606.ENSP00000376345,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000388169,9606.ENSP00000417273,9606.ENSP00000425561,9606.ENSP00000451828,9606.ENSP00000468348,9606.ENSP00000479606	MAPK1,TRIB3,TSC2,PFN1,DUSP3,CDKN1B,PLCG1,TRAF2,RAF1,CCNB1,RIPK1,KIF11,PRKAR2A,MAPKAP1,ARHGDIA,RALB,CCNA2,EGFR,TIAM1,HSP90B1,PRKCB,RPTOR,CKS1B,STAT2,UBE2N,CALR,HSPA5,GSK3B,PPP1CA,P4HB,TBK1,PLCB1,PTPN11,SFN,ADCY2,MAP2K3,E2F1,RAC1,WDR45,MTOR,VAV3,PTEN,CDC20,YWHAB,CKS2,SQSTM1,GRB2,MAPK8,CDKN1A,ARPC4,NCK1,EIF4E,AKT1,MAP2K6,CLTC
GO:0016773	Phosphotransferase activity, alcohol group as acceptor	31	670	0.91	8.75e-17	9606.ENSP00000215832,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000262741,9606.ENSP00000264380,9606.ENSP00000266970,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000302530,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000329967,9606.ENSP00000345083,9606.ENSP00000352157,9606.ENSP00000354558,9606.ENSP00000361014,9606.ENSP00000374455,9606.ENSP00000376352,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000390651,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000451828,9606.ENSP00000468348	MAPK1,MKNK2,RAF1,CCNB1,CDK4,RIPK1,PIK3R3,PIKFYVE,CDK2,EGFR,CAMK4,BUB1,PRKCB,GSK3B,TBK1,MAP2K3,MAPK10,MTOR,MKNK1,SQSTM1,PDK1,CDK1,MAPK8,CDKN1A,IRAK4,SLA,MAPK9,PBK,RPS6KA1,AKT1,MAP2K6
GO:0004672	Protein kinase activity	29	568	0.95	1.08e-16	9606.ENSP00000215832,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000266970,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000302530,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000329967,9606.ENSP00000345083,9606.ENSP00000352157,9606.ENSP00000354558,9606.ENSP00000361014,9606.ENSP00000374455,9606.ENSP00000376352,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000390651,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000451828,9606.ENSP00000468348	MAPK1,MKNK2,RAF1,CCNB1,CDK4,RIPK1,CDK2,EGFR,CAMK4,BUB1,PRKCB,GSK3B,TBK1,MAP2K3,MAPK10,MTOR,MKNK1,SQSTM1,PDK1,CDK1,MAPK8,CDKN1A,IRAK4,SLA,MAPK9,PBK,RPS6KA1,AKT1,MAP2K6
GO:0004674	Protein serine/threonine kinase activity	26	437	1.02	2.60e-16	9606.ENSP00000215832,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000266970,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000302530,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000329967,9606.ENSP00000345083,9606.ENSP00000352157,9606.ENSP00000354558,9606.ENSP00000361014,9606.ENSP00000374455,9606.ENSP00000376352,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000390651,9606.ENSP00000394560,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000451828,9606.ENSP00000468348	MAPK1,MKNK2,RAF1,CDK4,RIPK1,CDK2,EGFR,CAMK4,BUB1,PRKCB,GSK3B,TBK1,MAP2K3,MAPK10,MTOR,MKNK1,SQSTM1,PDK1,CDK1,MAPK8,IRAK4,MAPK9,PBK,RPS6KA1,AKT1,MAP2K6
GO:0016301	Kinase activity	31	732	0.87	6.21e-16	9606.ENSP00000215832,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000262741,9606.ENSP00000264380,9606.ENSP00000266970,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000302530,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000329967,9606.ENSP00000345083,9606.ENSP00000352157,9606.ENSP00000354558,9606.ENSP00000361014,9606.ENSP00000374455,9606.ENSP00000376352,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000390651,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000451828,9606.ENSP00000468348	MAPK1,MKNK2,RAF1,CCNB1,CDK4,RIPK1,PIK3R3,PIKFYVE,CDK2,EGFR,CAMK4,BUB1,PRKCB,GSK3B,TBK1,MAP2K3,MAPK10,MTOR,MKNK1,SQSTM1,PDK1,CDK1,MAPK8,CDKN1A,IRAK4,SLA,MAPK9,PBK,RPS6KA1,AKT1,MAP2K6
GO:0016772	Transferase activity, transferring phosphorus-containing groups	32	875	0.81	8.37e-15	9606.ENSP00000215832,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000256442,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000262741,9606.ENSP00000264380,9606.ENSP00000266970,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000302530,9606.ENSP00000305355,9606.ENSP00000324806,9606.ENSP00000329967,9606.ENSP00000340523,9606.ENSP00000345083,9606.ENSP00000352157,9606.ENSP00000354558,9606.ENSP00000361014,9606.ENSP00000374455,9606.ENSP00000376352,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000384849,9606.ENSP00000390651,9606.ENSP00000394049,9606.ENSP00000394560,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000451828,9606.ENSP00000468348	MAPK1,MKNK2,RAF1,CCNB1,CDK4,RIPK1,PIK3R3,PIKFYVE,CDK2,EGFR,CAMK4,BUB1,PRKCB,GSK3B,TBK1,NMNAT3,MAP2K3,MAPK10,MTOR,MKNK1,SQSTM1,PDK1,CDK1,MAPK8,CDKN1A,IRAK4,SLA,MAPK9,PBK,RPS6KA1,AKT1,MAP2K6
GO:0017076	Purine nucleotide binding	44	1878	0.62	1.86e-14	9606.ENSP00000215832,9606.ENSP00000217233,9606.ENSP00000225655,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000263238,9606.ENSP00000264380,9606.ENSP00000265563,9606.ENSP00000266970,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000302530,9606.ENSP00000305355,9606.ENSP00000316176,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000329967,9606.ENSP00000340523,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000348461,9606.ENSP00000352157,9606.ENSP00000354558,9606.ENSP00000357305,9606.ENSP00000361014,9606.ENSP00000365807,9606.ENSP00000367220,9606.ENSP00000376352,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000390651,9606.ENSP00000394560,9606.ENSP00000407586,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000451828,9606.ENSP00000468348	MAPK1,TRIB3,PFN1,MKNK2,RAF1,CDK4,RIPK1,KIF11,ACTR3,PIKFYVE,PRKAR2A,CDK2,RALB,EGFR,CAMK4,HSP90B1,BUB1,PRKCB,UBE2N,HSPA5,GSK3B,TBK1,NMNAT3,ADCY2,MAP2K3,RAC1,MAPK10,MTOR,RIT1,MKNK1,GNA14,ACTR2,PDK1,CDK1,MAPK8,IRAK4,MAPK9,HRAS,PBK,RPS6KA1,RAB40C,ARF1,AKT1,MAP2K6
GO:0032555	Purine ribonucleotide binding	43	1864	0.61	7.81e-14	9606.ENSP00000215832,9606.ENSP00000217233,9606.ENSP00000250896,9606.ENSP00000251849,9606.ENSP00000257904,9606.ENSP00000259808,9606.ENSP00000260731,9606.ENSP00000263238,9606.ENSP00000264380,9606.ENSP00000265563,9606.ENSP00000266970,9606.ENSP00000272519,9606.ENSP00000275493,9606.ENSP00000282356,9606.ENSP00000299767,9606.ENSP00000302530,9606.ENSP00000305355,9606.ENSP00000316176,9606.ENSP00000324173,9606.ENSP00000324806,9606.ENSP00000329967,9606.ENSP00000340523,9606.ENSP00000342952,9606.ENSP00000345083,9606.ENSP00000348461,9606.ENSP00000352157,9606.ENSP00000354558,9606.ENSP00000357305,9606.ENSP00000361014,9606.ENSP00000365807,9606.ENSP00000367220,9606.ENSP00000376352,9606.ENSP00000378699,9606.ENSP00000378974,9606.ENSP00000390651,9606.ENSP00000394560,9606.ENSP00000407586,9606.ENSP00000428489,9606.ENSP00000435412,9606.ENSP00000438492,9606.ENSP00000440005,9606.ENSP00000451828,9606.ENSP00000468348	MAPK1,TRIB3,MKNK2,RAF1,CDK4,RIPK1,KIF11,ACTR3,PIKFYVE,PRKAR2A,CDK2,RALB,EGFR,CAMK4,HSP90B1,BUB1,PRKCB,UBE2N,HSPA5,GSK3B,TBK1,NMNAT3,ADCY2,MAP2K3,RAC1,MAPK10,MTOR,RIT1,MKNK1,GNA14,ACTR2,PDK1,CDK1,MAPK8,IRAK4,MAPK9,HRAS,PBK,RPS6KA1,RAB40C,ARF1,AKT1,MAP2K6
